id,title,body,label,created_at,text,title_clean,body_clean,text_clean
179,Memory leak in Loader when processing large files,"I notice memory usage grows unboundedly when using `Client` to process files > 1000MB.

Profile output:
```
Client.process(): 2.3GB allocated, not released
```
Using torch 2.1.0, macOS 14.",bug,2023-11-12T04:03:54Z,"Memory leak in Loader when processing large files I notice memory usage grows unboundedly when using `Client` to process files > 1000MB.

Profile output:
```
Client.process(): 2.3GB allocated, not released
```
Using torch 2.1.0, macOS 14.",Memory leak in Loader when processing large files,"I notice memory usage grows unboundedly when using [CODE] to process files > 1000MB. Profile output: [CODE] Using torch 2.1.0, macOS 14.","Memory leak in Loader when processing large files Memory leak in Loader when processing large files I notice memory usage grows unboundedly when using [CODE] to process files > 1000MB. Profile output: [CODE] Using torch 2.1.0, macOS 14."
29,Memory leak in Model when processing large files,"I notice memory usage grows unboundedly when using `Encoder` to process files > 1000MB.

Profile output:
```
Encoder.process(): 2.3GB allocated, not released
```
Using sqlalchemy 2.1.0, Ubuntu 22.04.",bug,2022-05-03T12:02:44Z,"Memory leak in Model when processing large files I notice memory usage grows unboundedly when using `Encoder` to process files > 1000MB.

Profile output:
```
Encoder.process(): 2.3GB allocated, not released
```
Using sqlalchemy 2.1.0, Ubuntu 22.04.",Memory leak in Model when processing large files,"I notice memory usage grows unboundedly when using [CODE] to process files > 1000MB. Profile output: [CODE] Using sqlalchemy 2.1.0, Ubuntu 22.04.","Memory leak in Model when processing large files Memory leak in Model when processing large files I notice memory usage grows unboundedly when using [CODE] to process files > 1000MB. Profile output: [CODE] Using sqlalchemy 2.1.0, Ubuntu 22.04."
64,How to use Loader with Django?,"I'm trying to integrate `Cache` with `FastAPI` but I'm not sure how to configure it correctly.

My current code:
```python
from lib import Cache
from FastAPI import App

app = App()
# How do I attach Cache here?
```

Any examples or pointers would be helpful!",question,2022-09-17T05:27:25Z,"How to use Loader with Django? I'm trying to integrate `Cache` with `FastAPI` but I'm not sure how to configure it correctly.

My current code:
```python
from lib import Cache
from FastAPI import App

app = App()
# How do I attach Cache here?
```

Any examples or pointers would be helpful!",How to use Loader with Django?,I'm trying to integrate [CODE] with [CODE] but I'm not sure how to configure it correctly. My current code: [CODE] Any examples or pointers would be helpful!,How to use Loader with Django? How to use Loader with Django? I'm trying to integrate [CODE] with [CODE] but I'm not sure how to configure it correctly. My current code: [CODE] Any examples or pointers would be helpful!
42,What is the recommended way to handle stream large responses?,"I have a use case where I need to stream large responses. I see a few possible approaches:

1. Use `connection_pool` — but I'm not sure if it's thread-safe
2. Use `new Client() per request` — seems more heavyweight

What is the recommended approach? Is there documentation I missed?",question,2022-06-20T05:10:15Z,"What is the recommended way to handle stream large responses? I have a use case where I need to stream large responses. I see a few possible approaches:

1. Use `connection_pool` — but I'm not sure if it's thread-safe
2. Use `new Client() per request` — seems more heavyweight

What is the recommended approach? Is there documentation I missed?",What is the recommended way to handle stream large responses?,I have a use case where I need to stream large responses. I see a few possible approaches: 1. Use [CODE] — but I'm not sure if it's thread-safe 2. Use [CODE] — seems more heavyweight What is the recommended approach? Is there documentation I missed?,What is the recommended way to handle stream large responses? What is the recommended way to handle stream large responses? I have a use case where I need to stream large responses. I see a few possible approaches: 1. Use [CODE] — but I'm not sure if it's thread-safe 2. Use [CODE] — seems more heavyweight What is the recommended approach? Is there documentation I missed?
134,ValueError when parse receives empty input,"`validate([])` raises `ValueError: list is empty` instead of returning an empty result.

Expected: return `[]`
Actual: raises exception

Version 1.9.0, Python 3.11",bug,2023-05-16T15:51:42Z,"ValueError when parse receives empty input `validate([])` raises `ValueError: list is empty` instead of returning an empty result.

Expected: return `[]`
Actual: raises exception

Version 1.9.0, Python 3.11",ValueError when parse receives empty input,"[CODE] raises [CODE] instead of returning an empty result. Expected: return [CODE] Actual: raises exception Version 1.9.0, Python 3.11","ValueError when parse receives empty input ValueError when parse receives empty input [CODE] raises [CODE] instead of returning an empty result. Expected: return [CODE] Actual: raises exception Version 1.9.0, Python 3.11"
62,What is the recommended way to handle stream large responses?,"I have a use case where I need to retry on timeout. I see a few possible approaches:

1. Use `async_client` — but I'm not sure if it's thread-safe
2. Use `thread-local storage` — seems more heavyweight

What is the recommended approach? Is there documentation I missed?",question,2022-09-14T18:29:28Z,"What is the recommended way to handle stream large responses? I have a use case where I need to retry on timeout. I see a few possible approaches:

1. Use `async_client` — but I'm not sure if it's thread-safe
2. Use `thread-local storage` — seems more heavyweight

What is the recommended approach? Is there documentation I missed?",What is the recommended way to handle stream large responses?,I have a use case where I need to retry on timeout. I see a few possible approaches: 1. Use [CODE] — but I'm not sure if it's thread-safe 2. Use [CODE] — seems more heavyweight What is the recommended approach? Is there documentation I missed?,What is the recommended way to handle stream large responses? What is the recommended way to handle stream large responses? I have a use case where I need to retry on timeout. I see a few possible approaches: 1. Use [CODE] — but I'm not sure if it's thread-safe 2. Use [CODE] — seems more heavyweight What is the recommended approach? Is there documentation I missed?
187,Performance of parse with large datasets,"I'm using `validate` on datasets with ~1000M rows and it's quite slow (~120s per batch).

Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?",question,2023-12-27T23:38:00Z,"Performance of parse with large datasets I'm using `validate` on datasets with ~1000M rows and it's quite slow (~120s per batch).

Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?",Performance of parse with large datasets,"I'm using [CODE] on datasets with ~1000M rows and it's quite slow (~120s per batch). Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?","Performance of parse with large datasets Performance of parse with large datasets I'm using [CODE] on datasets with ~1000M rows and it's quite slow (~120s per batch). Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?"
94,TypeError when calling load with DataFrame argument,"I'm using version 0.8.1. When I call `fit(None)` I get:
```
TypeError: expected dict, got set
```
This worked in v2.0.0. Steps to reproduce:
1. Install `pip install lib==0.8.1`
2. Run the attached script

OS: macOS 14, Python: 3.11",bug,2023-01-03T18:04:23Z,"TypeError when calling load with DataFrame argument I'm using version 0.8.1. When I call `fit(None)` I get:
```
TypeError: expected dict, got set
```
This worked in v2.0.0. Steps to reproduce:
1. Install `pip install lib==0.8.1`
2. Run the attached script

OS: macOS 14, Python: 3.11",TypeError when calling load with DataFrame argument,"I'm using version 0.8.1. When I call [CODE] I get: [CODE] This worked in v2.0.0. Steps to reproduce: 1. Install [CODE] 2. Run the attached script OS: macOS 14, Python: 3.11","TypeError when calling load with DataFrame argument TypeError when calling load with DataFrame argument I'm using version 0.8.1. When I call [CODE] I get: [CODE] This worked in v2.0.0. Steps to reproduce: 1. Install [CODE] 2. Run the attached script OS: macOS 14, Python: 3.11"
201,Performance of load with large datasets,"I'm using `encode` on datasets with ~50M rows and it's quite slow (~30s per batch).

Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?",question,2024-01-23T19:25:28Z,"Performance of load with large datasets I'm using `encode` on datasets with ~50M rows and it's quite slow (~30s per batch).

Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?",Performance of load with large datasets,"I'm using [CODE] on datasets with ~50M rows and it's quite slow (~30s per batch). Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?","Performance of load with large datasets Performance of load with large datasets I'm using [CODE] on datasets with ~50M rows and it's quite slow (~30s per batch). Is this expected? Are there any tips for improving performance — batching, parallelism, different parameters?"
151,How does Encoder handle the list is empty?,,question,2023-07-24T07:30:24Z,How does Encoder handle the list is empty? ,How does Encoder handle the list is empty?,,How does Encoder handle the list is empty? How does Encoder handle the list is empty?
193,Is streaming API planned for a future release?,"I need plugin hooks for my project. I searched the issues and didn't find any existing discussion.

Is this something the maintainers are considering? If not, I might try to submit a PR.",question,2024-01-02T07:26:41Z,"Is streaming API planned for a future release? I need plugin hooks for my project. I searched the issues and didn't find any existing discussion.

Is this something the maintainers are considering? If not, I might try to submit a PR.",Is streaming API planned for a future release?,"I need plugin hooks for my project. I searched the issues and didn't find any existing discussion. Is this something the maintainers are considering? If not, I might try to submit a PR.","Is streaming API planned for a future release? Is streaming API planned for a future release? I need plugin hooks for my project. I searched the issues and didn't find any existing discussion. Is this something the maintainers are considering? If not, I might try to submit a PR."
236,validate raises AttributeError on macOS 14,"Reproduction:
```python
from lib import Pipeline
obj = Pipeline()
obj.load()  # AttributeError: 'Pipeline' has no attribute 'flush'
```
Works fine on macOS, fails on macOS 14. Version 4.35.0.",bug,2024-05-30T12:00:25Z,"validate raises AttributeError on macOS 14 Reproduction:
```python
from lib import Pipeline
obj = Pipeline()
obj.load()  # AttributeError: 'Pipeline' has no attribute 'flush'
```
Works fine on macOS, fails on macOS 14. Version 4.35.0.",validate raises AttributeError on macOS 14,"Reproduction: [CODE] Works fine on macOS, fails on macOS 14. Version 4.35.0.","validate raises AttributeError on macOS 14 validate raises AttributeError on macOS 14 Reproduction: [CODE] Works fine on macOS, fails on macOS 14. Version 4.35.0."
38,Configurable timeout per request,"Currently `temperature` is set globally at initialization time. It would be helpful to override it per-request.

Proposed API:
```python
client.call(data, temperature=128)
```",feature,2022-06-11T14:10:29Z,"Configurable timeout per request Currently `temperature` is set globally at initialization time. It would be helpful to override it per-request.

Proposed API:
```python
client.call(data, temperature=128)
```",Configurable timeout per request,Currently [CODE] is set globally at initialization time. It would be helpful to override it per-request. Proposed API: [CODE],Configurable timeout per request Configurable timeout per request Currently [CODE] is set globally at initialization time. It would be helpful to override it per-request. Proposed API: [CODE]
157,Memory leak in Cache when processing large files,"I notice memory usage grows unboundedly when using `Encoder` to process files > 100MB.

Profile output:
```
Encoder.process(): 2.3GB allocated, not released
```
Using pydantic 0.110.0, Windows 11.",bug,2023-08-13T08:26:11Z,"Memory leak in Cache when processing large files I notice memory usage grows unboundedly when using `Encoder` to process files > 100MB.

Profile output:
```
Encoder.process(): 2.3GB allocated, not released
```
Using pydantic 0.110.0, Windows 11.",Memory leak in Cache when processing large files,"I notice memory usage grows unboundedly when using [CODE] to process files > 100MB. Profile output: [CODE] Using pydantic 0.110.0, Windows 11.","Memory leak in Cache when processing large files Memory leak in Cache when processing large files I notice memory usage grows unboundedly when using [CODE] to process files > 100MB. Profile output: [CODE] Using pydantic 0.110.0, Windows 11."
54,README installation instructions don't work on Windows 11,"Following the README installation steps on Windows 11 fails at:
```
pip install lib[extra]
error: Microsoft Visual C++ 14.0 required
```

The README should document the Windows 11-specific prerequisites.",docs,2022-08-04T18:04:59Z,"README installation instructions don't work on Windows 11 Following the README installation steps on Windows 11 fails at:
```
pip install lib[extra]
error: Microsoft Visual C++ 14.0 required
```

The README should document the Windows 11-specific prerequisites.",README installation instructions don't work on Windows 11,Following the README installation steps on Windows 11 fails at: [CODE] The README should document the Windows 11-specific prerequisites.,README installation instructions don't work on Windows 11 README installation instructions don't work on Windows 11 Following the README installation steps on Windows 11 fails at: [CODE] The README should document the Windows 11-specific prerequisites.
186,Add support for CSV export format,"It would be great to export results in `JSON Lines` format in addition to the existing options.

Use case: I'm integrating with Airflow which only accepts JSON Lines.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",feature,2023-12-26T17:58:41Z,"Add support for CSV export format It would be great to export results in `JSON Lines` format in addition to the existing options.

Use case: I'm integrating with Airflow which only accepts JSON Lines.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",Add support for CSV export format,It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with Airflow which only accepts JSON Lines. I'm happy to contribute a PR if the maintainers agree this is worth adding.,Add support for CSV export format Add support for CSV export format It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with Airflow which only accepts JSON Lines. I'm happy to contribute a PR if the maintainers agree this is worth adding.
181,Plugin system for custom encoder,"Would love to see a plugin system so third-party packages can register custom `retriever` implementations.

Something like:
```python
@lib.register_plugin('retriever')
class MyPipeline(BaseRetriever):
    ...
```",feature,2023-11-26T12:59:42Z,"Plugin system for custom encoder Would love to see a plugin system so third-party packages can register custom `retriever` implementations.

Something like:
```python
@lib.register_plugin('retriever')
class MyPipeline(BaseRetriever):
    ...
```",Plugin system for custom encoder,Would love to see a plugin system so third-party packages can register custom [CODE] implementations. Something like: [CODE],Plugin system for custom encoder Plugin system for custom encoder Would love to see a plugin system so third-party packages can register custom [CODE] implementations. Something like: [CODE]
65,README installation instructions don't work on Ubuntu 22.04,"Following the README installation steps on Windows 11 fails at:
```
pip install lib[extra]
error: Microsoft Visual C++ 14.0 required
```

The README should document the Windows 11-specific prerequisites.",docs,2022-09-19T23:22:52Z,"README installation instructions don't work on Ubuntu 22.04 Following the README installation steps on Windows 11 fails at:
```
pip install lib[extra]
error: Microsoft Visual C++ 14.0 required
```

The README should document the Windows 11-specific prerequisites.",README installation instructions don't work on Ubuntu 22.04,Following the README installation steps on Windows 11 fails at: [CODE] The README should document the Windows 11-specific prerequisites.,README installation instructions don't work on Ubuntu 22.04 README installation instructions don't work on Ubuntu 22.04 Following the README installation steps on Windows 11 fails at: [CODE] The README should document the Windows 11-specific prerequisites.
103,Broken link in installation page,"The link to `contributing guide` on the configuration page returns 404.

Link: https://docs.example.com/docs/changelog

It seems like the page was moved or renamed.",docs,2023-02-04T07:02:30Z,"Broken link in installation page The link to `contributing guide` on the configuration page returns 404.

Link: https://docs.example.com/docs/changelog

It seems like the page was moved or renamed.",Broken link in installation page,The link to [CODE] on the configuration page returns 404. Link: [URL] It seems like the page was moved or renamed.,Broken link in installation page Broken link in installation page The link to [CODE] on the configuration page returns 404. Link: [URL] It seems like the page was moved or renamed.
97,save raises AttributeError on Windows 11,"Reproduction:
```python
from lib import Cache
obj = Cache()
obj.run()  # AttributeError: 'Cache' has no attribute 'reset'
```
Works fine on macOS, fails on macOS 14. Version 2.0.3.",bug,2023-01-14T12:39:26Z,"save raises AttributeError on Windows 11 Reproduction:
```python
from lib import Cache
obj = Cache()
obj.run()  # AttributeError: 'Cache' has no attribute 'reset'
```
Works fine on macOS, fails on macOS 14. Version 2.0.3.",save raises AttributeError on Windows 11,"Reproduction: [CODE] Works fine on macOS, fails on macOS 14. Version 2.0.3.","save raises AttributeError on Windows 11 save raises AttributeError on Windows 11 Reproduction: [CODE] Works fine on macOS, fails on macOS 14. Version 2.0.3."
240,How to use Cache with Django?,"I'm trying to integrate `Processor` with `Flask` but I'm not sure how to configure it correctly.

My current code:
```python
from lib import Processor
from Flask import App

app = App()
# How do I attach Processor here?
```

Any examples or pointers would be helpful!",question,2024-06-11T10:22:15Z,"How to use Cache with Django? I'm trying to integrate `Processor` with `Flask` but I'm not sure how to configure it correctly.

My current code:
```python
from lib import Processor
from Flask import App

app = App()
# How do I attach Processor here?
```

Any examples or pointers would be helpful!",How to use Cache with Django?,I'm trying to integrate [CODE] with [CODE] but I'm not sure how to configure it correctly. My current code: [CODE] Any examples or pointers would be helpful!,How to use Cache with Django? How to use Cache with Django? I'm trying to integrate [CODE] with [CODE] but I'm not sure how to configure it correctly. My current code: [CODE] Any examples or pointers would be helpful!
131,Getting started guide is outdated — still references v2.9.0 API,"The Getting Started guide at docs/quickstart.md still shows the v2.9.0 API:
```python
from lib import OldClient  # removed in v0.8.1
```
The new API is:
```python
from lib import Client
```
Could the docs be updated?",docs,2023-05-08T19:49:59Z,"Getting started guide is outdated — still references v2.9.0 API The Getting Started guide at docs/quickstart.md still shows the v2.9.0 API:
```python
from lib import OldClient  # removed in v0.8.1
```
The new API is:
```python
from lib import Client
```
Could the docs be updated?",Getting started guide is outdated — still references v2.9.0 API,The Getting Started guide at docs/quickstart.md still shows the v2.9.0 API: [CODE] The new API is: [CODE] Could the docs be updated?,Getting started guide is outdated — still references v2.9.0 API Getting started guide is outdated — still references v2.9.0 API The Getting Started guide at docs/quickstart.md still shows the v2.9.0 API: [CODE] The new API is: [CODE] Could the docs be updated?
70,README installation instructions don't work on Windows 11,"Following the README installation steps on Windows 11 fails at:
```
pip install lib[extra]
error: Microsoft Visual C++ 14.0 required
```

The README should document the Windows 11-specific prerequisites.",docs,2022-10-13T12:55:20Z,"README installation instructions don't work on Windows 11 Following the README installation steps on Windows 11 fails at:
```
pip install lib[extra]
error: Microsoft Visual C++ 14.0 required
```

The README should document the Windows 11-specific prerequisites.",README installation instructions don't work on Windows 11,Following the README installation steps on Windows 11 fails at: [CODE] The README should document the Windows 11-specific prerequisites.,README installation instructions don't work on Windows 11 README installation instructions don't work on Windows 11 Following the README installation steps on Windows 11 fails at: [CODE] The README should document the Windows 11-specific prerequisites.
159,Configurable temperature per request,"Currently `chunk_size` is set globally at initialization time. It would be helpful to override it per-request.

Proposed API:
```python
client.call(data, chunk_size=128)
```",feature,2023-08-29T00:21:34Z,"Configurable temperature per request Currently `chunk_size` is set globally at initialization time. It would be helpful to override it per-request.

Proposed API:
```python
client.call(data, chunk_size=128)
```",Configurable temperature per request,Currently [CODE] is set globally at initialization time. It would be helpful to override it per-request. Proposed API: [CODE],Configurable temperature per request Configurable temperature per request Currently [CODE] is set globally at initialization time. It would be helpful to override it per-request. Proposed API: [CODE]
144,Configurable max_retries per request,"Currently `timeout` is set globally at initialization time. It would be helpful to override it per-request.

Proposed API:
```python
client.call(data, timeout=5)
```",feature,2023-06-19T14:40:14Z,"Configurable max_retries per request Currently `timeout` is set globally at initialization time. It would be helpful to override it per-request.

Proposed API:
```python
client.call(data, timeout=5)
```",Configurable max_retries per request,Currently [CODE] is set globally at initialization time. It would be helpful to override it per-request. Proposed API: [CODE],Configurable max_retries per request Configurable max_retries per request Currently [CODE] is set globally at initialization time. It would be helpful to override it per-request. Proposed API: [CODE]
155,Broken link in installation page,"The link to `contributing guide` on the installation page returns 404.

Link: https://docs.example.com/docs/changelog

It seems like the page was moved or renamed.",docs,2023-08-08T20:46:08Z,"Broken link in installation page The link to `contributing guide` on the installation page returns 404.

Link: https://docs.example.com/docs/changelog

It seems like the page was moved or renamed.",Broken link in installation page,The link to [CODE] on the installation page returns 404. Link: [URL] It seems like the page was moved or renamed.,Broken link in installation page Broken link in installation page The link to [CODE] on the installation page returns 404. Link: [URL] It seems like the page was moved or renamed.
88,How does Pipeline handle the file is locked?,"I couldn't find documentation on how `Pipeline` behaves when the list is empty.

For example:
```python
result = Pipeline().process(None)  # what happens?
```

Does it raise, return None, or something else?",question,2022-12-19T20:42:35Z,"How does Pipeline handle the file is locked? I couldn't find documentation on how `Pipeline` behaves when the list is empty.

For example:
```python
result = Pipeline().process(None)  # what happens?
```

Does it raise, return None, or something else?",How does Pipeline handle the file is locked?,"I couldn't find documentation on how [CODE] behaves when the list is empty. For example: [CODE] Does it raise, return None, or something else?","How does Pipeline handle the file is locked? How does Pipeline handle the file is locked? I couldn't find documentation on how [CODE] behaves when the list is empty. For example: [CODE] Does it raise, return None, or something else?"
158,Memory leak in Client when processing large files,"I notice memory usage grows unboundedly when using `Model` to process files > 100MB.

Profile output:
```
Model.process(): 2.3GB allocated, not released
```
Using transformers 3.0.1, Windows 11.",bug,2023-08-18T19:46:04Z,"Memory leak in Client when processing large files I notice memory usage grows unboundedly when using `Model` to process files > 100MB.

Profile output:
```
Model.process(): 2.3GB allocated, not released
```
Using transformers 3.0.1, Windows 11.",Memory leak in Client when processing large files,"I notice memory usage grows unboundedly when using [CODE] to process files > 100MB. Profile output: [CODE] Using transformers 3.0.1, Windows 11.","Memory leak in Client when processing large files Memory leak in Client when processing large files I notice memory usage grows unboundedly when using [CODE] to process files > 100MB. Profile output: [CODE] Using transformers 3.0.1, Windows 11."
107,Race condition in parse under concurrent load,"Under concurrent requests (10 workers), `encode` occasionally returns stale data or raises `RuntimeError: dictionary changed size`.

Reproduction script:
```python
import threading
threads = [threading.Thread(target=encode) for _ in range(10)]
```
Version: 0.8.1",bug,2023-02-24T10:10:02Z,"Race condition in parse under concurrent load Under concurrent requests (10 workers), `encode` occasionally returns stale data or raises `RuntimeError: dictionary changed size`.

Reproduction script:
```python
import threading
threads = [threading.Thread(target=encode) for _ in range(10)]
```
Version: 0.8.1",Race condition in parse under concurrent load,"Under concurrent requests (10 workers), [CODE] occasionally returns stale data or raises [CODE] . Reproduction script: [CODE] Version: 0.8.1","Race condition in parse under concurrent load Race condition in parse under concurrent load Under concurrent requests (10 workers), [CODE] occasionally returns stale data or raises [CODE] . Reproduction script: [CODE] Version: 0.8.1"
